"CustomerID","Gender","Age","Partner","Dependents","Tenure","MultipleLines","InternetService","OnlineProtect","TechSupport","Streaming","Outage","ContractType","MonthlyCharges","Churn","Pilot"
"7590-VHVEG","Female",19,"Yes","No",1,0,"DSL",2,2,0,"Occasional",1,29.85,"No",1
"5575-GNVDE","Male",38,"No","No",34,1,"5G",1,2,0,"Occasional",12,56.95,"No",1
"3668-QPYBK","Male",55,"No","No",2,1,"5G",3,2,0,"Frequent",1,53.85,"Yes",1
"7795-CFOCW","Male",24,"No","No",45,0,"5G",1,3,0,"Frequent",12,42.3,"No",1
"9237-HQITU","Female",35,"No","No",2,1,"DSL",0,2,0,"Frequent",1,70.7,"Yes",1
"9305-CDSKC","Female",44,"No","No",8,2,"5G",0,2,3,"Frequent",1,99.65,"Yes",1
"1452-KIOVK","Male",32,"No","Yes",22,2,"5G",2,2,1,"Occasional",1,89.1,"No",1
"6713-OKOMC","Female",49,"No","No",10,0,"5G",1,2,0,"Occasional",1,29.75,"No",1
"7892-POOKP","Female",33,"Yes","No",28,2,"DSL",0,3,3,"Occasional",1,104.8,"Yes",1
"6388-TABGU","Male",35,"No","Yes",62,1,"5G",3,2,0,"Occasional",12,56.15,"No",1
"9763-GRSKD","Male",36,"Yes","Yes",13,1,"5G",1,2,0,"Occasional",1,49.95,"No",1
"7469-LKBCI","Male",21,"No","No",16,1,"5G",0,1,0,"Occasional",24,18.95,"No",1
"8091-TTVAX","Male",42,"Yes","No",58,2,"DSL",0,2,3,"Occasional",12,100.35,"No",1
"0280-XJGEX","Male",43,"No","No",49,2,"5G",2,2,3,"Frequent",1,103.7,"Yes",1
"5129-JLPIS","Male",20,"No","No",25,1,"5G",1,3,3,"Occasional",1,105.5,"No",1
"3655-SNQYZ","Female",29,"Yes","Yes",69,2,"5G",3,3,3,"Occasional",24,113.25,"No",1
"8191-XWSZG","Female",48,"No","No",52,1,"5G",0,1,0,"Occasional",12,20.65,"No",1
"9959-WOFKT","Male",29,"No","Yes",71,2,"5G",1,2,3,"Occasional",24,106.7,"No",1
"4190-MFLUW","Female",25,"Yes","Yes",10,1,"5G",0,3,0,"Occasional",1,55.2,"Yes",1
"4183-MYFRB","Female",24,"No","No",21,1,"5G",2,2,2,"Occasional",1,90.05,"No",1
"8779-QRDMV","Male",79,"No","No",1,0,"5G",0,2,2,"Frequent",1,39.65,"Yes",1
"1680-VDCWW","Male",49,"No","No",12,1,"5G",0,1,0,"Frequent",12,19.8,"No",1
"1066-JKSGK","Male",56,"No","No",1,1,"5G",0,1,0,"Occasional",1,20.15,"Yes",1
"3638-WEABW","Female",45,"Yes","No",58,2,"5G",2,3,0,"Occasional",24,59.9,"No",1
"6322-HRPFA","Male",52,"Yes","Yes",49,1,"5G",3,3,0,"Occasional",1,59.6,"No",1
"6865-JZNKO","Female",36,"No","No",30,1,"5G",3,2,0,"Occasional",1,55.3,"No",1
"6467-CHFZW","Male",29,"Yes","Yes",47,2,"5G",2,2,3,"Frequent",1,99.35,"Yes",1
"8665-UTDHZ","Male",20,"Yes","Yes",1,0,"5G",2,2,0,"Frequent",1,30.2,"Yes",1
"5248-YGIJN","Male",27,"Yes","No",72,2,"5G",3,3,3,"Occasional",24,90.25,"No",1
"8773-HHUOZ","Female",41,"No","Yes",17,1,"5G",0,2,3,"Frequent",1,64.7,"Yes",1
"3841-NFECX","Female",80,"Yes","No",71,2,"5G",3,3,0,"Occasional",24,96.35,"No",1
"4929-XIHVW","Male",79,"Yes","No",2,1,"5G",0,2,3,"Occasional",1,95.5,"No",1
"6827-IEAUQ","Female",48,"Yes","Yes",27,1,"5G",3,3,0,"Occasional",12,66.15,"No",1
"7310-EGVHZ","Male",20,"No","No",1,1,"5G",0,1,0,"Occasional",1,20.2,"No",1
"3413-BMNZE","Male",73,"No","No",1,1,"5G",0,2,0,"Occasional",1,45.25,"No",1
"6234-RAAPL","Female",34,"Yes","Yes",72,2,"5G",3,3,1,"Occasional",24,99.9,"No",1
"6047-YHPVI","Male",61,"No","No",5,1,"5G",0,2,0,"Frequent",1,69.7,"Yes",1
"6572-ADKRS","Female",34,"No","No",46,1,"DSL",0,2,0,"Occasional",1,74.8,"No",1
"5380-WJKOV","Male",20,"No","No",34,2,"5G",2,2,3,"Occasional",1,106.35,"Yes",1
"8168-UQWWF","Female",34,"No","No",11,2,"5G",0,2,3,"Frequent",1,97.85,"Yes",1
"8865-TNMNX","Male",52,"No","No",10,1,"5G",2,2,0,"Occasional",12,49.55,"No",1
"9489-DEDVP","Female",29,"Yes","Yes",70,2,"DSL",3,2,1,"Occasional",24,69.2,"No",1
"9867-JCZSP","Female",22,"Yes","Yes",17,1,"DSL",0,1,0,"Occasional",12,20.75,"No",1
"4671-VJLCL","Female",52,"No","No",63,2,"5G",3,3,1,"Occasional",24,79.85,"No",1
"4080-IIARD","Female",34,"Yes","No",13,2,"5G",3,3,1,"Occasional",1,76.2,"No",1
"3714-NTNFO","Female",64,"No","No",49,2,"DSL",0,2,2,"Occasional",1,84.5,"No",1
"5948-UJZLF","Male",40,"No","No",2,1,"5G",2,2,0,"Occasional",1,49.25,"No",1
"7760-OYPDY","Female",26,"No","No",2,1,"5G",0,2,1,"Occasional",1,80.65,"Yes",1
